Job No.,Project Name,Address,Permit,Contractor,Cell Phone,Project Manager,
19-0054,BVS-057,"2612 79th Ave NE, Medina",B-17-070,JayMarc Manor LLC,(425) 444-2055,Jeff,
18-0879,C755 Rail Replacement - King County Light,"M.L. King Way - various, Seattle",,,(206) 255-4811,Isaac,
18-1052,Cambria Commercial Building,"22051 68th Ave S, Kent",,"Precision Builders, Inc.",(206) 396-1527,Isaac,
16-0933,Cambridge Apartments Renovation,"903 Union Street, Seattle",6495645,"Rafn Company, Inc.",(206) 510-2934,Walter,
18-0231,Capen-Davis Residence,"2537 37th Avenue West, Seattle",6581940,Joseph McKinstry Construct,(206) 406-9404,Isaac,
18-0557,Carleton Duplex,"6703 Carleton Ave S, Seattle",6608078,"Blackwood Builders Group,",(425) 443-5453,Jeff,
18-1044,Carlson Residence (John-Mark),"20103 148th Avenue SE, Kent",DWEL18-0161,"Carlson, John-Mark",(425) 681-1959,Scott,
18-0915,Cascade Hills Phase 3,"Corner of SE 167th St & 117th Ave SE, Rento",,Kar-Vel Construction,(425) 533-5204,Walter,
19-0029,CD-02 Camden Food Co. (Project ID U0025,"SeaTac Internationl Airport, D5-D6 Main Term,",BLD-18-0079,"Wilcox Construction, Inc.",(206) 817-2084,Isaac,
18-0867,Cedar Crest Building A,"9523 NE 180th Street, Bothell",BMF2017-15447,"Charter Construction, Inc.",(206) 573-0770,Jeff,
18-0671,Cedar Crest Building B,"9523 NE 180th Street, Bothell",BMF2017-15449,"Charter Construction, Inc.",(206) 573-0770,Jeff,
18-0373,Cedar Crest Building C,"9523 NE 180th Street, Bothell",BMF2017-15448,"Charter Construction, Inc.",(206) 573-0770,Jeff,
17-0429,Cedar Hills Regional Landfill - Areas 7 and 8,"16645 228th Avenue SE, Maple Valley",,,,Jeff,
18-0311a,Cedar Park North - Lot #01,"907 221st Place SE, Bothell",BMF2018-18558,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311b,Cedar Park North - Lot #02,"913 221st Place SE, Bothell",BMF2018-18560,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311c,Cedar Park North - Lot #03,"919 221st Place SE, Bothell",BMF2018-18561,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311d,Cedar Park North - Lot #04,"925 221st Place SE, Bothell",BMF2018-18562,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311e,Cedar Park North - Lot #05,"931 221st Place SE, Bothell",BMF2018-18365,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311f,Cedar Park North - Lot #06,"928 221st Place SE, Bothell",BMF2018-18364,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311g,Cedar Park North - Lot #07,"924 221st Place SE, Bothell",BMF2018-17603,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0311h,Cedar Park North - Lot #08,"920 221st Place SE, Bothell",BMF2018-18363,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243,Cedar Park South - All Lots,"919 221st Street SE, Bothell",,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243a,Cedar Park South - Lot #01,"22256 9th Lane SE, Bothell",(not issued yet),"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243b,Cedar Park South - Lot #02,"22254 9th Lane SE, Bothell",BMF2017-16941,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243c,Cedar Park South - Lot #03,"22252 9th Lane SE, Bothell",BMF2017-17786,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243d,Cedar Park South - Lot #04,"22251 9th Lane SE, Bothell",(not issued yet),"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243e,Cedar Park South - Lot #05,"22253 9th Drive SE, Bothell",BMF2017-17824,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243f,Cedar Park South - Lot #06,"22264 9th Drive SE, Bothell",BMF2018-18674,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243g,Cedar Park South - Lot #07,"22262 9th Drive SE, Bothell",BMF2018-18673,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243h,Cedar Park South - Lot #08,"22261 9th Drive SE, Bothell",BMF2018-18704,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243i,Cedar Park South - Lot #09,"22263 9th Drive SE, Bothell",BMF2018-18706,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243j,Cedar Park South - Lot #10,"22265 9th Drive SE, Bothell",BMF2018-18707,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243k,Cedar Park South - Lot #11,"22276 9th Court SE, Bothell",BMF2017-17930,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243l,Cedar Park South - Lot #12,"22274 9th Court SE, Bothell",BMF2017-17931,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243m,Cedar Park South - Lot #13,"22272 9th Court SE, Bothell",BMF2017-17932,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243n,Cedar Park South - Lot #14,"22271 9th Court SE, Bothell",BMF2017-17933,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243o,Cedar Park South - Lot #15,"22275 9th Court SE, Bothell",BMF2017-17934,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243p,Cedar Park South - Lot #16,"933 223rd Street SE, Bothell",BMF2017-17935,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243q,Cedar Park South - Lot #17,"937 223rd Street SE, Bothell",BMF2017-17936,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243r,Cedar Park South - Lot #18,"938 223rd Street SE, Bothell",BMF2018-18205,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243s,Cedar Park South - Lot #19,"934 223rd Street SE, Bothell",BMF2018-18151,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243t,Cedar Park South - Lot #20,"930 223rd Street SE, Bothell",BMF2018-18206,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243u,Cedar Park South - Lot #21,"926 223rd Street SE, Bothell",BMF2018-18676,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243v,Cedar Park South - Lot #22,"922 223rd Street SE, Bothell",BMF2018-18675,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243w,Cedar Park South - Lot #23,"22323 9th Drive SE, Bothell",BMF2018-19187,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243x,Cedar Park South - Lot #24,"22325 9th Drive SE, Bothell",BMF2018-19188,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243y,Cedar Park South - Lot #25,"22327 9th Drive SE, Bothell",BMF2018-19189,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0243z,Cedar Park South - Lot #26,"22326 9th Drive SE, Bothell",BMF2018-19190,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0675a,Cedar Park South - Lot #27,"22324 9th Drive SE, Bothell",BMF2018-19191,"RM Homes, LLC",(425) 336-9366,Isaac,
18-0675b,Cedar Park South - Lot #28,"22322 9th Drive SE, Bothell",BMF2018-19192,"RM Homes, LLC",(425) 336-9366,Isaac,
18-1005,Central Sand Shed,"2181 SR 906, Snoqualmie Pass",BP-17-00524,"Ski Lift, Inc.",(425) 766-4184,Walter,
17-0094a,Chainqui Urban Green Villa - Structural,"2401 3rd Avenue, Seattle",6505691,JTM Construction,(206) 445-5395,Jeff,
17-0781,CHC Everett - HBI860147,", Everett",,,,Jeff,
19-0058,Chen-Shao Residence,"1201 Evergreen Point Drive, Medina",B-17-091,"Schultz Miller, Inc.",(206) 551-9668,Walter,
18-0936,Chinn Residence,"9001 NE 37th Place, Yarrow Point",2018-7812,"TL Erickson Construction, In",(206) 909-9521,Jeff,
18-0828,Chow Residence,"3712 78th Avenue SE, Mercer Island",1708-161,ESP Custom Homes,(206) 605-0145,Isaac,
18-0896,Christal Residence,"17405 14th Ave NW, Shoreline",SFR18-0786,Michael T. Shinn Constructi,(206) 940-3586,Isaac,
19-0002,City & County of San Francisco 2019,"5200 Airport Way South, Seattle",,"Olympic Foundry, Inc.",(206) 764-1200,Walter,
18-0448,Clawson Laster Residence,"1512 32nd Avenue South, Seattle",6615867,"McDowell NW Pile King, Inc",(206) 510-4218,Isaac,
19-0016,Colby Apartments,"2229 Colby Avenue, Everett",B1806008,"Charter Construction, Inc.",(206) 962-0078,Isaac,
18-1011,Collins Residence (Dan & Beth),"4711 194th Ave SE, Issaquah",BLD18-00106,Heckert Construction,(425) 652-0841,Isaac,
18-0022,Colman Dock Project,"801 Alaskan Way S, Seattle",not applicable,"Pacific Pile & Marine, LP",(206) 459-5998,Isaac,
16-0692,Comstock,"210 W. Comstock Street, Seattle",6354219,"Barcelo Homes, Inc.",(253) 394-6587,Jeff,
18-1022,Creighton Project,"1620 43rd Ave E, Apt 11A, Seattle",6686753-CN,Tradecraft Builders,(206) 300-7396,Jeff,
18-0483,Crescent Builds Office - Main Building,"10317 Greenwood Ave North, Seattle",6625173,Crescent Builds,(206) 459-3822,Isaac,
18-0483a,Crescent Builds Office - Prefabricated Buildi,"10317 Greenwood Ave North, Seattle",6671401,Crescent Builds,(206) 459-3822,Isaac,
17-0048,Crossroads Village - All Buildings,"15751 NE 15th Street (sales ofc), Bellevue",,Polygon Northwest,,Walter,
17-0048v,Crossroads Village - Bldg. 01,"15813 NE 15th Street, Bellevue",16-134223BB,Polygon Northwest,,Walter,
18-0336f,Crossroads Village - Bldg. 02,"1494 159th Place NE, Bellevue",16-134218 BB,Polygon Northwest,,Walter,
17-0048x,Crossroads Village - Bldg. 04,"1464 159th Pl NE, Bellevue",16-134220 BB,Polygon Northwest,,Walter,
17-0048w,Crossroads Village - Bldg. 05,"1453 159th Pl NE, Bellevue",16-134221BB,Polygon Northwest,,Walter,
17-0048q,Crossroads Village - Bldg. 06,"1444 159th Place NE, Bellevue",16-134222BB,Polygon Northwest,,Walter,
17-0048u,Crossroads Village - Bldg. 07,"15899 NE 14th Road, Bellevue",16-134166BB,Polygon Northwest,(425) 229-4574,Walter,
17-0048p,Crossroads Village - Bldg. 08,"15785 NE 14th, Bellevue",16-134169,Polygon Northwest,(253) 341-7408,Walter,
17-0048r,Crossroads Village - Bldg. 09,"1424 158th PL NE, Bellevue",16 134171BB,Polygon Northwest,(253) 341-7408,Walter,
17-0048s,Crossroads Village - Bldg. 10,"1434 158th CT NE, Bellevue",16 134170BB,Polygon Northwest,(253) 341-7408,Walter,
18-0336a,Crossroads Village - Bldg. 11,"1484 158th CT NE, Bellevue",16-134224BB,Polygon Northwest,(253) 341-7408,Walter,
18-0336e,Crossroads Village - Bldg. 12,"1474 158th Pl NE, Bellevue",16-134225BB,Polygon Northwest,(253) 341-7408,Walter,
17-0048i,Crossroads Village - Bldg. 13,"1403 158th Place NE, Bellevue",,Polygon Northwest,(253) 341-7408,Walter,
17-0048j,Crossroads Village - Bldg. 14,"??1423 158th Place NE, Bellevue",16-129243BB,Polygon Northwest,(253) 341-7408,Walter,
17-0048d,Crossroads Village - Bldg. 15,"1490 157th Ct NE, Bellevue",,Polygon Northwest,,Walter,
17-0048a,Crossroads Village - Bldg. 16,"15751 NE 14th Street, Bellevue",16-129200,Polygon Northwest,,Walter,
18-0336c,Crossroads Village - Bldg. 17,"15751 NE 15th Street, Bellevue",18 119062 UC,Polygon Northwest,(253) 341-7408,Walter,
17-0048n,Crossroads Village - Bldg. 18,"15785 NE 14th RTE, Bellevue",16-134161,Polygon Northwest,(425) 229-4574,Walter,
17-0048o,Crossroads Village - Bldg. 19,"15775 NE 14th RTE, Bellevue",16-134162,Polygon Northwest,(425) 229-4574,Walter,
17-0048l,Crossroads Village - Bldg. 20,"15742 NE 14th ALY, Bellevue",16-130946BB,Polygon Northwest,,Walter,
17-0048m,Crossroads Village - Bldg. 21,"15764 NE 14th ALY, Bellevue",16-134163,Polygon Northwest,(425) 229-4574,Walter,
17-0048k,Crossroads Village - Bldg. 22,"15775 NE 14th Alley, Bellevue",16-130947BB,Polygon Northwest,,Walter,
17-0048g,Crossroads Village - Bldg. 23,"15735 NE 14th, Bellevue",16-129201BB,Polygon Northwest,,Walter,
17-0048h,Crossroads Village - Bldg. 24,"15794 14th Terrace, Bellevue",16-130948-BB,Polygon Northwest,,Walter,
17-0048e,Crossroads Village - Bldg. 25,"15722 NE Terrace, Bellevue",16-129208BB,Polygon Northwest,,Walter,
17-0048b,Crossroads Village - Bldg. 26,"15725 NE 14th Street, Bellevue",16-12909-BB,Polygon Northwest,,Walter,
17-0048c,Crossroads Village - Bldg. 27,"15725 NE 14th Street, Bellevue",16-129210-BB,Polygon Northwest,,Walter,
17-0048f,Crossroads Village - Bldg. 28,"1414 157th Place NE*, Bellevue",16 129211 BB,Polygon Northwest,,Walter,
18-0336d,Crossroads Village - Bldg. 29,"1454 157th Place NE, Bellevue",16-134164 BB,Polygon Northwest,(253) 341-7408,Walter,
17-0048t,Crossroads Village – Fire Lane,"Various, Bellevue",16 122255FN,Polygon Northwest,(253) 341-7408,Walter,
18-0336b,Crossroads Village - Park Interface,"15751 NE 15th Street, Bellevue",16-102816GB,Polygon Northwest,425-791-5395,Walter,
18-1013,CT-21 Pei Wei (Project ID U00259),"17801 International Blvd, SeaTac Airport",BLD-PP-18-0085,"Wilcox Construction, Inc.",,Isaac,
19-0023,CT-23 Evergreens,"17801 International Blvd., SeaTac Airport",,"Wilcox Construction, Inc.",(425) 774-4185,Isaac,
18-1015,CT-26 Koi Shi Sushi and Bento (Project ID,"17801 International Blvd, SeaTac Airport",BLD-18-0083,"Wilcox Construction, Inc.",(206) 817-2206,Isaac,
18-1012,Cummings 4-Plex,"20904 72nd Ave W, Edmonds",BLD20171835,Slater Homes Corp,(425) 890-3397,Jeff,
18-0550,Delridge Five LLC,"5206 Delridge Way SW, Seattle",6421912,Envision Northwest,,Jeff,
18-0037,Delridge Way SW Townhomes,"4534 Delridge Way SW, Seattle",,,,Scott,
18-1087,Devey Residence (Tom & Heather),"10316 NE 156th Place, Bothell",BSF2018-21218,"Seismic Northwest, LP",(360) 349-3857,Jeff,
18-1008,Dimitriou Addition,"7454 NE 120th Place, Kirkland",BSF18-01328,Black Dog Custom Builders,(206) 714-1066,Isaac,
18-0506,Donahoe/Eagles-Soukup Residence,"2368 Hobart Avenue SW, Seattle",,Transblue,,Anthony,
18-0988,Dorothy's House Project,"4329 West Semple Street, Seattle",6556340,"Lockhart Suver, LLC",(206) 359-1374,Isaac,
18-1064a,Earlington Project Bldg. 01,"8202-8206 S 132nd Street, Renton",,Polygon Northwest,(425) 78604913,Walter,
18-1064b,Earlington Project Bldg. 02,"8210-8214 S 132nd St, Renton",B18001287,Polygon Northwest,(425) 786-4913,Walter,
18-1064c,Earlington Project Bldg. 03,"8220-8226 S 132nd Street, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064d,Earlington Project Bldg. 04,"8228-8230 S 132nd Street, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064e,Earlington Project Bldg. 05,"13102-13114 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064f,Earlington Project Bldg. 06,"13101-13111 83rd Lane S (See Notes), Renton",B18001192,Polygon Northwest,(425) 786-4913,Walter,
18-1064g,Earlington Project Bldg. 07,"13122-13132 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064h,Earlington Project Bldg. 08,"13121-13131 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064i,Earlington Project Bldg. 09,"13141-13153 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064j,Earlington Project Bldg. 10,"13142-13148 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064k,Earlington Project Bldg. 11,"13167-13169 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064l,Earlington Project Bldg. 12,"13161-13165 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064m,Earlington Project Bldg. 13,"13181-13187 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
18-1064n,Earlington Project Bldg. 14,"13189-13191 83rd Lane S, Renton",,Polygon Northwest,(425) 786-4913,Walter,
16-0860a,East Link Light Rail I-90 (E130 - Judkins Par,1496 Rainier Ave S (use 1400 S Dean for GPS,,Kiewit-Hoffman East Link C,206-549-5289,Jeff,
16-0860,East Link Light Rail I-90 (E130 - MI Station),"2510 77th Avenue SE* (MI Station), Mercer Isl",,Kiewit-Hoffman East Link C,206-549-5289,Jeff,
16-0860b,East Link Light Rail I-90 (E130 - MI Tunnel),"2101 72nd SE, Mercer Island",,Kiewit-Hoffman East Link C,206-549-5289,Jeff,
16-0860c,East Link Light Rail I-90 (E130 - Mt. Baker T,"1411 Yakima Avenue South, Seattle",,Kiewit-Hoffman East Link C,206-549-5289,Jeff,
17-0274,East Link Light Rail Project (E360 Segment),"Near SR 520 at NE 20th St. to OTC Station, B",,,(253) 439-8884,Walter,
16-0804,Eclipse Townhomes - All Buildings,"3300 Eclipse Mill Road, Everett",SEE NOTES,,,Walter,
16-0804d,Eclipse Townhomes - Bldg. 01,"3302 31st Drive, Everett",C1606-069 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804f,Eclipse Townhomes - Bldg. 02,"3301 31st Drive, Everett",C1604-020 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804g,Eclipse Townhomes - Bldg. 03,"3313 to 3323 31st Drive, Everett",C1604-026 to 31,Polygon Northwest,(425) 891-2727,Walter,
16-0804i,Eclipse Townhomes - Bldg. 04,"3325 to 3335 31st Drive, Everett",C1604-032 to 37,Polygon Northwest,(425) 891-2727,Walter,
16-0804h,Eclipse Townhomes - Bldg. 05,"3337 to 3345 31st Drive, Everett",C1603-026 to 30,Polygon Northwest,(425) 891-2727,Walter,
16-0804e,Eclipse Townhomes - Bldg. 06,"3322 31st Drive, Everett",C1604-068 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804j,Eclipse Townhomes - Bldg. 07,"3336 to 3346 31st Drive, Everett",C1604-074 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804k,Eclipse Townhomes - Bldg. 08,"3347 to 3355 31st Drive, Everett",C1603-031 to 035,Polygon Northwest,(425) 891-2727,Walter,
16-0804l,Eclipse Townhomes - Bldg. 09,"3401 31st Drive, Everett",C1603-036 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804m,Eclipse Townhomes - Bldg. 10,"3350 31st Drive, Everett",C1604-080 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804y,Eclipse Townhomes - Bldg. 11,"3411 31st Drive, Everett",C1604-038,Polygon Northwest,,Walter,
16-0804x,Eclipse Townhomes - Bldg. 12,"3423 31st Dr., Everett",,Polygon Northwest,,Walter,
16-0804t,Eclipse Townhomes - Bldg. 13,"3412 31st Dr., Everett",1604-086 to 092,Polygon Northwest,(425) 891-2727,Walter,
16-0804w,Eclipse Townhomes - Bldg. 14,"3458 31st Drive, Everett",C1604-092 thru 0,Polygon Northwest,(425) 328-5811,Walter,
18-0287d,Eclipse Townhomes - Bldg. 15,"3435 31st Drive, Everett",C1604-050 thru 0,Polygon Northwest,(425) 891-2727,Walter,
18-0287e,Eclipse Townhomes - Bldg. 16,"3447 31st Drive, Everett",C1603-041 thru 0,Polygon Northwest,(425) 891-2727,Walter,
18-0287f,Eclipse Townhomes - Bldg. 17,"Various, Everett",C1603-046 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804a,Eclipse Townhomes - Bldg. 18,"3300 Eclipse Mill Rd (3458 31st Drive), Everett",C1602-016 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804b,Eclipse Townhomes - Bldg. 19,"3511 31st Drive, Everett",C1602-020 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804c,Eclipse Townhomes - Bldg. 20,"3300 Eclipse Mill Road, Everett",C1604-098 thru 1,Polygon Northwest,(425) 891-2727,Walter,
16-0804u,Eclipse Townhomes - Bldg. 21,"3339 30th Drive, Everett",C1604-104 thru 1,Polygon Northwest,(425) 891-2727,Walter,
16-0804n,Eclipse Townhomes - Bldg. 22,"3405 30th Drive, Everett",C1604-112 thru 1,Polygon Northwest,(425) 891-2727,Walter,
16-0804o,Eclipse Townhomes - Bldg. 23,"3410 30th Drive, Everett",C1603-050 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804r,Eclipse Townhomes - Bldg. 24,"3409-3419 30th Drive, Everett",C1604-118 thru 1,Polygon Northwest,(425) 891-2727,Walter,
16-0804p,Eclipse Townhomes - Bldg. 25,"3414 to 3420 30th Drive, Everett",C1604-056 to C16,Polygon Northwest,(425) 377-9262,Walter,
16-0804s,Eclipse Townhomes - Bldg. 26,"3423-3435 30th Drive, Everett",C1606-076 thru 0,Polygon Northwest,(425) 891-2727,Walter,
16-0804q,Eclipse Townhomes - Bldg. 27,"3011 34th Place, Everett",C1606-097 thru 1,Polygon Northwest,(425) 891-2727,Walter,
16-0804v,Eclipse Townhomes - Bldg. 28,"3002-3012 34th Place, Everett",C1606-102 thru 1,Polygon Northwest,(425) 891-2727,Walter,
18-0287c,Eclipse Townhomes - Bldg. 29,"3439 - 3451 30th Drive, Everett",C1606-083 to 089,Polygon Northwest,(425) 891-2727,Walter,
18-0287g,Eclipse Townhomes - Bldg. 30,"3513 30th Drive, Everett",C1606-090 to 096,Polygon Northwest,(425) 891-2727,Walter,
16-0804z,Eclipse Townhomes - Bldg. 31,"3001 35th Street, Everett",C1604-062 thru 0,Polygon Northwest,(425) 891-2727,Walter,
18-0287b,Eclipse Townhomes - Bldg. 32,"3208 30th Avenue, Everett",C1606-108 thru 1,Polygon Northwest,(425) 891-2727,Walter,
18-0287a,Eclipse Townhomes - Bldg. 33,"3008 35th St, Everett",C1606-115 to 118,Polygon Northwest,(425) 891-2727,Walter,
19-0030,Edgewater Inn,"2411 Alaskan Way, Seattle",6282145,"Stillwater Marine, Inc.",(206) 450-3225,Walter,
17-0875,Edgewood Veterinary Clinic,"1311 Meridian Ave. E, Edgewood",,,,Scott,
18-0892,Edmonds 401,"18000 76th Avenue West, Edmonds",,,253-845-7000,Anthony,
19-0065,Elite Commercial Contracting,"406 E North Bend Way, North Bend",,"Rainier Industries, Ltd.",,Walter,
17-0663,Escala Condominium Building,"1920 4th Avenue, Seattle",6573576,,(206) 228-0158,Isaac,
18-0474,Evergreen Heights Elementary School Site I,"5602 S. 316th Street, Auburn",BLD 18-0055,"Tunista Construction, LLC",(206) 742-8362,Walter,
15-0601,Excellence Health and Fitness (2015),"4100 Aurora Avenue North, Seattle",6407437,"Promondo, LLC",(206) 859-1026,Jeff,
18-0668,Far West Steel Warehouse Project,"201 SW 34th St, Renton",N/A,Farwest Steel,(425) 656-3254,Isaac,
18-0690,Fauntleroy Project,"9121 Fauntleroy Way SW, Seattle",6586810,Dovetail General Contractor,(206) 713-9859,Isaac,
18-0280,Flacco Residence,"1710 36th Ave (use 1716 for GPS), Seattle",6530494,P.H. Robison Construction,(206) 601-4855,Isaac,
18-0638,Float A - Long,"1213 East Shelby, #19 (see notes), Seattle",6552260,"Dyna Contracting, Inc.",(206) 708-9029,Walter,
18-0656,Float B - Samsel,"2812 Boyer Avenue East (see notes), Seattle",6465822,"Dyna Contracting, Inc.",(206) 708-9029,Walter,
18-0657,Float C - Morken,"2114 Boyer Avenue East (see notes), Seattle",6465824,"Dyna Contracting, Inc.",,Walter,
18-0637,Float D - Phillips,"2816 Boyer Avenue East, Seattle",6465825,"Dyna Contracting, Inc.",(206) 708-9029,Walter,
18-0602,Freeman Residence Phase 3,"1928 Harvard Avenue E, Seattle",6486833,"Toellner Construction, LLC",(253) 380-2004,Isaac,
19-0020,Frye Apartments In-Plane Brick Shear Testi,"223 Yesler Way, Seattle",,,,Jeff,
18-1046,Garman Residence,"432 2nd Avenue NE, Seattle",6671870,Prestige Residential Constr,,,Isaac
19-0070,Garms Residence,"324 7th avenue, Kirkland",BSF18-01422,Schovajsa Construction,(425) 246-5936,,Isaac
18-0670,Gene Coulon Memorial Beach Park Structur,"1201 Lake Washington Boulevard North, Rent",B18-001880,"Quigg Brothers, Inc.",360-500-9332,,Isaac
16-0478a,Gensco New Bldg - HVAC,"5917 4th Avenue South, Seattle",6551884,"Donovan Brothers, Inc.",(206) 354-6326,,Walter
18-0696,Georgetown Brewery Expansion,"5200 Denver Ave South, Seattle",6599240-CN,JTM Construction,(206) 817-5870,,Isaac
18-0874,Georgetown Wet Weather Treatment Statio,"6185 4th Ave. S, Seattle",,James W. Fowler Company,,,Isaac
18-0713,Georgetown Wet Weather Treatment Statio,"6185 4th Ave. S, Seattle",6503485,"Flatiron West, Inc.",(360) 630-3553,,Isaac
18-0971,Globe Building,"310 1st Avenue South, Seattle",,,,,Isaac
17-0213,Golden Curry Mixed Use,"23811 West Valley Highway, Kent",CNST2151446,Strong Weld,(206) 355-9353,,Isaac
18-0782,Golden Pines Elderly Housing Facility,"2901 NE 10th Street, Renton",B17005057,Walsh Construction Compa,(206) 551-6594,,Walter
16-0396,Gordito's Restaurant (2016),"213 N 85th Street, Seattle",6526552,Interstate Restoration,(425) 343-7636,,Jeff
19-0060,Graber Project,"6035 2nd Ave NW, Seattle",6653761,"Raincap Construction, Inc.",(303) 746-4879,,Isaac
18-0810,Grannis Road LLC,"19318 29th Avenue SE, Bothell",,,(206) 890-3084,*,Scott
17-0529,Graves Residence - Retaining Wall Repair,"8027 Sunnyside Avenue North, Seattle",6622498,,,,Anthony
19-0074,Greenside Recreational,"23407 Pacific Highway S, Des Moines",,"Rainier Industries, Ltd.",(206) 819-3846,,Isaac
18-0944,Greenwood Phinney Landbanked Park,"Greenwood Ave N (N 82nd St and N 81st St),",6583298,"Wyser Construction Co., Inc",,,Isaac
18-0463,Ground Transportation Building Renovation,"2809 South 160th Street, SeaTac",1810596 or BLD-,"Colvos Construction, LLC",(425)879-9512,,Isaac
18-1061,Grove Residence,"12728 NE 95th St, Kirkland",17-07079,"JD Bergevin Homes, Inc.",(425) 406-9086,,Jeff
19-0051,Guitar Center - Action Special Inspections,"6308 Roosevelt Way NE, Seattle",,,(503) 381-6329,,Isaac
19-0093,Guthrie Residence,"3141 Fairweather Drive, Hunts Point",,"Sea & Shore Construction, I",(206) 434-1449,,Isaac
19-0044,GW 11 Fluoroscopy Supports,"1660 S Columbian Way, Bldg. 101, Seattle",n/a,,,,Walter
17-0169a,Harborview - 2EH Patient Lift Installation (M,"325 9th Avenue, Seattle",6503579,"M Brown Industries, LLC",,,Anthony
18-0952,Harbour Heights Condominium Repairs,"2621 2nd Avenue, Seattle",6644971,"Tatley-Grund, Inc.",,,Walter
18-1081,Harrison Row Houses,"1052 E Harrison Street, Seattle",6613739,Revolution Custom Builders,(260) 779-1414,Isaac,
07-0580a,Harvard & Highland Condominiums Building,"1188 Harvard Avenue East, Seattle",6117384,WG Clark Construction Co,(206) 793-3972,Walter,
18-0060,Harwood Condo,"1311 12th Ave S, Seattle",6572273,"Charter Construction, Inc.",(206) 841-0053,Isaac,
18-1076,Heiberg Residence,"2365 SW Squak Mountain Loop, Issaquah",BLD18-00057,Hess Construction,(425) 531-0628,Jeff,
18-0955,Henninger Short Plat,"16112 SE Petrovitsky Road, Renton",,R and D Enterprises,,Anthony,
13-0163,Heron Residence,"10012 SW Dock Street, Vashon Island",,,,Anthony,
19-0063,Hess Residence,"4822 251st St SE, Snohomish",18122258RK,"Everett, Aaron",(206) 276-2300,Scott,
19-0033,Highline College - Bldg. 6 Canopy (Project,"2400 S. 240th Street, Building 6, Des Moines",BLD2018-1344,"Pease Construction, Inc.",,Jeff,
16-0456,Highline S. 268th St. Water & Brightwood P,"S. 268th St. & Brightwood Park, Normandy Par",ENG2016-044,"SCI Infrastructure, LLC",,Jeff,
